year	1. jövedelmi tized	2. jövedelmi tized	3. jövedelmi tized	4. jövedelmi tized	5. jövedelmi tized	6. jövedelmi tized	7. jövedelmi tized	8. jövedelmi tized	9. jövedelmi tized	10. jövedelmi tized	Budapesti jövedelem	Nagyvárosi, megyei jogú városi jövedelem	Egyéb városi jövedelem	Községi jövedelem	Országos jövedelem
2007	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
2008	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
2009	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
2010	29.1	46.6	59.1	69.3	78.9	88.2	100.1	115.9	139.7	236.8	133.8	106.6	89.3	77.9	96.4
2011	28.2	47.1	61.0	71.8	82.9	93.5	104.7	121.1	147.6	247.9	137.5	114.1	92.6	80.7	100.6
2012	27.1	47.2	62.8	74.8	86.4	96.6	107.5	125.5	151.7	249.3	143.3	112.5	95.6	83.0	102.9
2013	28.6	51.2	68.6	78.9	90.9	102.3	117.0	133.2	165.5	266.5	151.6	123.6	102.2	87.5	110.3
2014	29.1	52.3	70.6	81.4	96.6	109.0	119.3	141.0	171.1	274.3	152.6	124.3	106.5	95.1	114.5
2015	30.5	54.3	73.8	85.4	100.8	114.0	124.1	147.6	180.3	289.2	163.6	129.3	110.9	99.1	120.0
2016	31.0	55.4	75.9	88.3	105.5	118.4	129.6	154.4	189.6	305.5	165.7	133.7	114.7	108.4	125.3
2017	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null